Week,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
11/25/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,3,0.3333,5.03,1,0,0,5.03,0
12/16/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,8,0.25,11.6,2,2,4,5.8,2.9
11/11/19,Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,60,0.2167,525.28,13,0,0,40.41,0
11/25/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,28,0.1071,16.93,3,0,0,5.64,0
12/2/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,85,0.2353,180.3,20,0.1,2,9.02,90.15
12/9/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,102,0.0784,71.75,8,0,0,8.97,0
12/23/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,30,0.2,22.77,6,0.5,3,3.8,7.59
12/30/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,24,0.125,8.62,3,0,0,2.87,0
1/13/20,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,42,0.0714,11.94,3,0,0,3.98,0
10/28/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,19,0.1579,11.61,3,0,0,3.87,0
12/2/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,13,0.3846,13.5,5,0,0,2.7,0
12/16/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,4,0.25,6.81,1,0,0,6.81,0
1/6/20,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,3,0,0,0,0,0,0,0
1/13/20,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,3,0.3333,2.44,1,0,0,2.44,0
